,Field_code,hld_id,hld_farm
259,UK17,76,KINNABUS
260,UK16,76,KINNABUS
261,UK15,76,KINNABUS
262,UK14,76,KINNABUS
263,UK13,76,KINNABUS
264,UK12,76,KINNABUS
265,UK11,76,KINNABUS
266,UK10,76,KINNABUS
267,UK1,240,UPPER KILLEYAN
268,TT9,255,trial farm droppings
269,TT8,255,trial farm droppings
270,TT7,255,trial farm droppings
271,TT6,255,trial farm droppings
272,TT5,255,trial farm droppings
273,TT4,255,trial farm droppings
274,TT30,255,trial farm droppings
275,TT3,255,trial farm droppings
276,TT29,255,trial farm droppings
277,TT23,255,trial farm droppings
278,TT22,255,trial farm droppings
279,TT21,255,trial farm droppings
280,TT2,255,trial farm droppings
281,TT13,255,trial farm droppings
282,TT12,255,trial farm droppings
283,TT11,255,trial farm droppings
284,TT10,255,trial farm droppings
285,TT1,255,trial farm droppings
286,TL9,262,UPPER CRUACH
287,TL8,112,(PART) ISLAND FARM & BOWMORE HOLDINGS
288,TL7,47,WEST CRUACH
289,TL6,262,UPPER CRUACH
290,TL5,262,UPPER CRUACH
291,TL46,111,"CORRARY, (PART) GARTNATRA & (PART) ISLAND FARM"
292,TL45,123,TALLANT
293,TL44,262,UPPER CRUACH
294,TL43,262,UPPER CRUACH
295,TL42,123,TALLANT
296,TL41,123,TALLANT
297,TL40,111,"CORRARY, (PART) GARTNATRA & (PART) ISLAND FARM"
298,TL4,47,WEST CRUACH
299,TL39,116,STEAM MILL CROFT
300,TL38,111,"CORRARY, (PART) GARTNATRA & (PART) ISLAND FARM"
301,TL37,123,TALLANT
302,TL36,123,TALLANT
303,TL35,123,TALLANT
304,TL34,123,TALLANT
305,TL33,226,SUPERHOLDING
306,TL32,123,TALLANT
307,TL31,226,SUPERHOLDING
308,TL30,226,SUPERHOLDING
309,TL3,47,WEST CRUACH
310,TL29,116,STEAM MILL CROFT
311,TL28,123,TALLANT
312,TL27,123,TALLANT
313,TL26,123,TALLANT
314,TL25,123,TALLANT
315,TL24,123,TALLANT
316,TL23,123,TALLANT
317,TL22,123,TALLANT
318,TL21,123,TALLANT
319,TL20,123,TALLANT
320,TL2,47,WEST CRUACH
321,TL19,123,TALLANT
322,TL18,123,TALLANT
323,TL17,123,TALLANT
324,TL16,123,TALLANT
325,TL15,123,TALLANT
326,TL14,123,TALLANT
327,TL13,123,TALLANT
328,TL12,123,TALLANT
329,TL11,262,UPPER CRUACH
330,TL10,262,UPPER CRUACH
331,TL1,205,BOWMORE FIELDS
332,SU9,104,SUNDERLAND
333,SU8,104,SUNDERLAND
334,SU7,104,SUNDERLAND
335,SU6,104,SUNDERLAND
336,SU52,104,SUNDERLAND
337,SU51,104,SUNDERLAND
338,SU50,104,SUNDERLAND
339,SU5,104,SUNDERLAND
340,SU49,104,SUNDERLAND
341,SU48,104,SUNDERLAND
342,SU47,104,SUNDERLAND
343,SU46,104,SUNDERLAND
344,SU44,104,SUNDERLAND
345,SU43,198,FORELAND & WOODSIDE
346,SU42,104,SUNDERLAND
347,SU41,104,SUNDERLAND
348,SU40,136,GRULINMORE
349,SU4,104,SUNDERLAND
350,SU39,104,SUNDERLAND
351,SU38,104,SUNDERLAND
352,SU37,104,SUNDERLAND
353,SU36,104,SUNDERLAND
354,SU35,104,SUNDERLAND
355,SU34,104,SUNDERLAND
356,SU33,104,SUNDERLAND
