,Field_code,hld_id,hld_farm
2983,BS11,230,SUPERHOLDING
2984,BS10,230,SUPERHOLDING
2985,BS1,132,BOLSAY
2986,BN9,14,PERSABUS FARM
2987,BN8,14,PERSABUS FARM
2988,BN7,14,PERSABUS FARM
2989,BN6,14,PERSABUS FARM
2990,BN5,14,PERSABUS FARM
2991,BN42,83,ARDNAHOE
2992,BN41,60,AUCHNACLACH FARM
2993,BN40,60,AUCHNACLACH FARM
2994,BN4,14,PERSABUS FARM
2995,BN39,60,AUCHNACLACH FARM
2996,BN38,60,AUCHNACLACH FARM
2997,BN37,14,PERSABUS FARM
2998,BN36,40,TORRABUS
2999,BN35,40,TORRABUS
3000,BN34,40,TORRABUS
3001,BN32,40,TORRABUS
3002,BN31,40,TORRABUS
3003,BN30,14,PERSABUS FARM
3004,BN3,14,PERSABUS FARM
3005,BN29,83,ARDNAHOE
3006,BN28,60,AUCHNACLACH FARM
3007,BN26,60,AUCHNACLACH FARM
3008,BN25,60,AUCHNACLACH FARM
3009,BN24,60,AUCHNACLACH FARM
3010,BN23,228,SUPERHOLDING
3011,BN22,14,PERSABUS FARM
3012,BN21,14,PERSABUS FARM
3013,BN20,14,PERSABUS FARM
3014,BN2,14,PERSABUS FARM
3015,BN19,83,ARDNAHOE
3016,BN18,83,ARDNAHOE
3017,BN17,83,ARDNAHOE
3018,BN16,83,ARDNAHOE
3019,BN15,83,ARDNAHOE
3020,BN14,40,TORRABUS
3021,BN13,40,TORRABUS
3022,BN12,40,TORRABUS
3023,BN11,40,TORRABUS
3024,BN10,40,TORRABUS
3025,BN1,14,PERSABUS FARM
3026,BM9,64,BALLACHLAVEN
3027,BM8,190,BALLIMARTIN
3028,BM7,190,BALLIMARTIN
3029,BM6,190,BALLIMARTIN
3030,BM50,64,BALLACHLAVEN
3031,BM5,190,BALLIMARTIN
3032,BM49,187,SCARRABUS
3033,BM48,64,BALLACHLAVEN
3034,BM47,190,BALLIMARTIN
3035,BM46,64,BALLACHLAVEN
3036,BM45,190,BALLIMARTIN
3037,BM44,190,BALLIMARTIN
3038,BM43,190,BALLIMARTIN
3039,BM42,190,BALLIMARTIN
3040,BM40,64,BALLACHLAVEN
3041,BM4,190,BALLIMARTIN
3042,BM39,190,BALLIMARTIN
3043,BM38,64,BALLACHLAVEN
3044,BM37,64,BALLACHLAVEN
3045,BM36,190,BALLIMARTIN
3046,BM35,190,BALLIMARTIN
3047,BM34,190,BALLIMARTIN
3048,BM33,190,BALLIMARTIN
3049,BM32,190,BALLIMARTIN
3050,BM31,190,BALLIMARTIN
3051,BM30,64,BALLACHLAVEN
3052,BM3,190,BALLIMARTIN
3053,BM29,190,BALLIMARTIN
3054,BM28,190,BALLIMARTIN
3055,BM27,64,BALLACHLAVEN
3056,BM26,64,BALLACHLAVEN
3057,BM25,64,BALLACHLAVEN
3058,BM24,64,BALLACHLAVEN
3059,BM23,187,SCARRABUS
3060,BM22,190,BALLIMARTIN
3061,BM21,64,BALLACHLAVEN
3062,BM20,64,BALLACHLAVEN
3063,BM2,190,BALLIMARTIN
3064,BM19,64,BALLACHLAVEN
3065,BM17,64,BALLACHLAVEN
3066,BM16,64,BALLACHLAVEN
3067,BM15,64,BALLACHLAVEN
3068,BM14,64,BALLACHLAVEN
3069,BM13,64,BALLACHLAVEN
3070,BM12,64,BALLACHLAVEN
3071,BM11,64,BALLACHLAVEN
3072,BM10,64,BALLACHLAVEN
3073,BM1,190,BALLIMARTIN
3074,BH9,63,GARTACHARRA
3075,BH8,63,GARTACHARRA
3076,BH7,63,GARTACHARRA
3077,BH6,107,CONISBY
3078,BH57,35,COULTORSAY FARM
3079,BH56,105,GORTANACHUIRN
3080,BH55,35,COULTORSAY FARM
3081,BH54,35,COULTORSAY FARM
3082,BH53,35,COULTORSAY FARM
3083,BH52,35,COULTORSAY FARM
3084,BH51,63,GARTACHARRA
3085,BH50,63,GARTACHARRA
3086,BH5,107,CONISBY
3087,BH48,63,GARTACHARRA
3088,BH47,63,GARTACHARRA
3089,BH46,63,GARTACHARRA
3090,BH45,105,GORTANACHUIRN
3091,BH44,105,GORTANACHUIRN
3092,BH43,105,GORTANACHUIRN
3093,BH42,105,GORTANACHUIRN
3094,BH41,105,GORTANACHUIRN
3095,BH40,105,GORTANACHUIRN
3096,BH4,33,THE CROFT
3097,BH39,135,BRYBRUAICH
3098,BH38,135,BRYBRUAICH
3099,BH37,135,BRYBRUAICH
3100,BH36,135,BRYBRUAICH
3101,BH35,135,BRYBRUAICH
3102,BH34,135,BRYBRUAICH
3103,BH33,135,BRYBRUAICH
3104,BH32,135,BRYBRUAICH
3105,BH31,35,COULTORSAY FARM
3106,BH30,35,COULTORSAY FARM
3107,BH3,33,THE CROFT
3108,BH29,89,LORGBA
3109,BH28,230,SUPERHOLDING
3110,BH27,63,GARTACHARRA
3111,BH26,63,GARTACHARRA
3112,BH25,135,BRYBRUAICH
3113,BH24,135,BRYBRUAICH
3114,BH23,135,BRYBRUAICH
3115,BH22,63,GARTACHARRA
3116,BH21,63,GARTACHARRA
3117,BH20,35,COULTORSAY FARM
3118,BH2,33,THE CROFT
3119,BH19,35,COULTORSAY FARM
3120,BH18,35,COULTORSAY FARM
3121,BH17,35,COULTORSAY FARM
3122,BH16,35,COULTORSAY FARM
3123,BH15,35,COULTORSAY FARM
3124,BH14,230,SUPERHOLDING
3125,BH13,230,SUPERHOLDING
3126,BH12,63,GARTACHARRA
3127,BH11,63,GARTACHARRA
3128,BH10,63,GARTACHARRA
3129,BE9,27,ISLAY HOME FARM
3130,BE8,228,SUPERHOLDING
3131,BE8,27,ISLAY HOME FARM
3132,BE7,197,CARRABUS & KNOCKDON
3133,BE6,197,CARRABUS & KNOCKDON
3134,BE5,27,ISLAY HOME FARM
3135,BE49,75,BLACKROCK
3136,BE48,75,BLACKROCK
3137,BE47,228,SUPERHOLDING
3138,BE46,228,SUPERHOLDING
3139,BE44,75,BLACKROCK
3140,BE43,75,BLACKROCK
3141,BE42,75,BLACKROCK
3142,BE41,75,BLACKROCK
3143,BE40,75,BLACKROCK
3144,BE4,75,BLACKROCK
3145,BE39,75,BLACKROCK
3146,BE38,228,SUPERHOLDING
3147,BE37,55,CLAGGAN FARM
3148,BE36,55,CLAGGAN FARM
3149,BE35,55,CLAGGAN FARM
3150,BE34,228,SUPERHOLDING
3151,BE33,228,SUPERHOLDING
3152,BE32,228,SUPERHOLDING
3153,BE31,228,SUPERHOLDING
3154,BE30,228,SUPERHOLDING
3155,BE3,75,BLACKROCK
3156,BE29,228,SUPERHOLDING
3157,BE28,27,ISLAY HOME FARM
3158,BE27,27,ISLAY HOME FARM
3159,BE26,27,ISLAY HOME FARM
3160,BE25,27,ISLAY HOME FARM
3161,BE24,27,ISLAY HOME FARM
3162,BE23,27,ISLAY HOME FARM
3163,BE22,27,ISLAY HOME FARM
3164,BE21,27,ISLAY HOME FARM
3165,BE20,27,ISLAY HOME FARM
3166,BE2,75,BLACKROCK
3167,BE19,27,ISLAY HOME FARM
3168,BE18,27,ISLAY HOME FARM
3169,BE17,27,ISLAY HOME FARM
3170,BE16,27,ISLAY HOME FARM
3171,BE15,27,ISLAY HOME FARM
3172,BE14,27,ISLAY HOME FARM
3173,BE13,27,ISLAY HOME FARM
3174,BE12,75,BLACKROCK
3175,BE11,75,BLACKROCK
3176,BE10,75,BLACKROCK
3177,BE1,75,BLACKROCK
3178,BB9,235,BALLINABY NO.1
3179,BB8,56,NO 2 BALLINABY
3180,BB7,56,NO 2 BALLINABY
3181,BB6,235,BALLINABY NO.1
3182,BB5,235,BALLINABY NO.1
3183,BB4,235,BALLINABY NO.1
3184,BB32,229,SUPERHOLDING
3185,BB31,136,GRULINMORE
3186,BB30,136,GRULINMORE
3187,BB3,235,BALLINABY NO.1
3188,BB29,136,GRULINMORE
3189,BB28,136,GRULINMORE
3190,BB27,136,GRULINMORE
3191,BB26,235,BALLINABY NO.1
3192,BB25,235,BALLINABY NO.1
3193,BB24,235,BALLINABY NO.1
3194,BB23,136,GRULINMORE
3195,BB22,136,GRULINMORE
3196,BB21,56,NO 2 BALLINABY
