"","X.1","Device_ID","Winter","PP_Shoot","Habitat","case_","ceh_broad","Case","weight","Used","weight2","gbg_dist_points"
"67",67,"194239",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,321.323552792146
"68",68,"194239",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,346.900239339567
"69",69,"194239",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,333.043051358096
"70",70,"194239",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,349.223675971484
"71",71,"194239",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,298.202579105327
"72",72,"194239",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,338.529352957857
"73",73,"194239",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,828.062471340382
"74",74,"194239",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,135.740997932297
"75",75,"194239",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,86.8761134831313
"76",76,"194239",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,445.920099259319
"77",77,"194239",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,185.408105160139
"78",78,"194239",2019,"post","19",TRUE,"saltmarsh_coastal",1,1,"Used",10,446.816480015569
"79",79,"194241",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,328.870342000859
"80",80,"194241",2019,"post","19",TRUE,"saltmarsh_coastal",1,1,"Used",10,401.515482902435
"81",81,"194241",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,446.628073766715
"82",82,"194241",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,533.619883540645
"83",83,"194241",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,535.81874822034
"84",84,"194241",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,861.094806998536
"85",85,"194241",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,83.3808208547616
"86",86,"194241",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,84.5191436859999
"87",87,"194241",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,72.2654862597658
"88",88,"194241",2019,"post","19",TRUE,"saltmarsh_coastal",1,1,"Used",10,177.414877321501
"89",89,"194241",2019,"post","19",TRUE,"saltmarsh_coastal",1,1,"Used",10,131.144724118246
"90",90,"194241",2019,"post","19",TRUE,"saltmarsh_coastal",1,1,"Used",10,112.108750687296
"91",91,"194242",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,323.672092804554
"92",92,"194242",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,249.818723607149
"93",93,"194243",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,207.327439431968
"94",94,"194243",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,139.24089863141
"95",95,"194243",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,116.577797589337
"96",96,"194243",2019,"post","10",TRUE,"other_grassland",1,1,"Used",10,441.46189414088
"97",97,"194243",2019,"post","11",TRUE,"bog",1,1,"Used",10,438.603772296672
"98",98,"194243",2019,"post","19",TRUE,"saltmarsh_coastal",1,1,"Used",10,187.234184442337
"99",99,"194243",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,168.890285058588
"100",100,"194243",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,163.648846952821
"101",101,"194243",2019,"post","19",TRUE,"saltmarsh_coastal",1,1,"Used",10,115.362028915732
"102",102,"194243",2019,"post","19",TRUE,"saltmarsh_coastal",1,1,"Used",10,187.53876768184
"103",103,"194244",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,163.667503402845
"104",104,"194244",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,270.318034334467
"105",105,"194245",2019,"post","10",TRUE,"other_grassland",1,1,"Used",10,407.570124576918
"106",106,"194245",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,521.288313853644
"107",107,"194245",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,587.722432419565
