"","totaldist","Device_ID","UTC_Date","Species","Winter","year_day","mode_hld_farm","shoot_date","totaldist_log","events_total","shoot_freq","indiv_dist","Disturbance2","shoot_date_sc","events_total_sc","shoot_freq_sc","indiv_dist_sc","Sex","Tag_Winter","Disturbance_shoot","group_id"
"24",0.089231322,"BARN08","16/11/2019","GBG","2019",320,"Farm_ 1","15",-2.416523154,428,2.377777778,0,"No_Shoot",-2.054332633,-0.235862727,-0.235862727,-0.612766304,"M","BARN08_2019","No_Shoot",82
"25",0.063821668,"BARN08","17/11/2019","GBG","2019",321,"Farm_ 1","16",-2.751662523,428,2.377777778,0,"No_Shoot",-2.032433968,-0.235862727,-0.235862727,-0.612766304,"M","BARN08_2019","No_Shoot",82
"26",2.998796235,"194247","04/02/2021","GBG","2020",35,"Farm_ 1","95",1.098210953,328,1.822222222,0,"No_Shoot",-0.302439435,-0.603785284,-0.603785284,-0.612766304,"M","194247_2020","No_Shoot",73
"27",8.628843764,"194247","25/02/2021","GBG","2020",56,"Farm_ 1","116",2.155110517,328,1.822222222,0,"No_Shoot",0.157432529,-0.603785284,-0.603785284,-0.612766304,"M","194247_2020","No_Shoot",73
"28",0.730250756,"UCOL25","22/03/2015","GWFG","2014",81,"Farm_ 1","141",-0.314367302,1257,6.983333333,1,"No_Shoot",0.704899154,2.814215268,2.814215268,-0.367298732,"F","UCOL25_2014","No_Shoot",122
"29",1.097588001,"UCOL25","26/03/2015","GWFG","2014",85,"Farm_ 1","145",0.093115046,1257,6.983333333,1,"No_Shoot",0.792493814,2.814215268,2.814215268,-0.367298732,"F","UCOL25_2014","No_Shoot",122
"30",0.937351617,"UCOL25","27/03/2015","GWFG","2014",86,"Farm_ 1","146",-0.064696809,1257,6.983333333,1,"No_Shoot",0.814392479,2.814215268,2.814215268,-0.367298732,"F","UCOL25_2014","No_Shoot",122
"31",1.159236972,"UCOL25","29/03/2015","GWFG","2014",88,"Farm_ 1","148",0.147762006,1257,6.983333333,2,"No_Shoot",0.858189809,2.814215268,2.814215268,-0.121831161,"F","UCOL25_2014","No_Shoot",122
"32",3.708965001,"HAR27","12/11/2015","GWFG","2015",316,"Farm_ 1","11",1.310752862,1287,7.15,0,"No_Shoot",-2.141927293,2.924592035,2.924592035,-0.612766304,"F","HAR27_2015","No_Shoot",111
"33",2.622168619,"HAR27","03/11/2016","GWFG","2016",308,"Farm_ 1","3",0.964001693,1067,5.927777778,0,"No_Shoot",-2.317116613,2.11516241,2.11516241,-0.612766304,"F","HAR27_2016","No_Shoot",112
"34",1.465900666,"17782","11/03/2019","GWFG","2018",70,"Farm_ 1","130",0.382469843,418,2.322222222,0,"No_Shoot",0.464013839,-0.272654983,-0.272654983,-0.612766304,"F","17782_2018","No_Shoot",12
"35",1.245704588,"17782","13/03/2019","GWFG","2018",72,"Farm_ 1","132",0.219701304,418,2.322222222,0,"No_Shoot",0.507811169,-0.272654983,-0.272654983,-0.612766304,"F","17782_2018","No_Shoot",12
"36",3.313152999,"17782","16/03/2019","GWFG","2018",75,"Farm_ 1","135",1.197900304,418,2.322222222,0,"No_Shoot",0.573507164,-0.272654983,-0.272654983,-0.612766304,"F","17782_2018","No_Shoot",12
"37",3.700391864,"17782","22/03/2019","GWFG","2018",81,"Farm_ 1","141",1.308438723,418,2.322222222,0,"No_Shoot",0.704899154,-0.272654983,-0.272654983,-0.612766304,"F","17782_2018","No_Shoot",12
"38",1.598626526,"190295.1","11/03/2019","GWFG","2018",70,"Farm_ 1","130",0.46914484,418,2.322222222,0,"No_Shoot",0.464013839,-0.272654983,-0.272654983,-0.612766304,"F","190295.1_2018","No_Shoot",44
"39",1.456850363,"190295.1","13/03/2019","GWFG","2018",72,"Farm_ 1","132",0.376276819,418,2.322222222,0,"No_Shoot",0.507811169,-0.272654983,-0.272654983,-0.612766304,"F","190295.1_2018","No_Shoot",44
"40",3.346840649,"190295.1","16/03/2019","GWFG","2018",75,"Farm_ 1","135",1.208016811,418,2.322222222,0,"No_Shoot",0.573507164,-0.272654983,-0.272654983,-0.612766304,"F","190295.1_2018","No_Shoot",44
"41",3.639933218,"190295.1","22/03/2019","GWFG","2018",81,"Farm_ 1","141",1.291965335,418,2.322222222,0,"No_Shoot",0.704899154,-0.272654983,-0.272654983,-0.612766304,"F","190295.1_2018","No_Shoot",44
"42",0.834120541,"17782","04/02/2020","GWFG","2019",35,"Farm_ 1","95",-0.181377354,428,2.377777778,2,"No_Shoot",-0.302439435,-0.235862727,-0.235862727,-0.121831161,"F","17782_2019","No_Shoot",13
"43",2.28031064,"17782","08/02/2020","GWFG","2019",39,"Farm_ 1","99",0.824311679,428,2.377777778,2,"No_Shoot",-0.214844775,-0.235862727,-0.235862727,-0.121831161,"F","17782_2019","No_Shoot",13
"44",1.719875977,"17782","10/02/2020","GWFG","2019",41,"Farm_ 1","101",0.542252182,428,2.377777778,2,"No_Shoot",-0.171047445,-0.235862727,-0.235862727,-0.121831161,"F","17782_2019","No_Shoot",13
"45",1.2553597,"17782","13/02/2020","GWFG","2019",44,"Farm_ 1","104",0.227422145,428,2.377777778,2,"No_Shoot",-0.10535145,-0.235862727,-0.235862727,-0.121831161,"F","17782_2019","No_Shoot",13
"46",1.693176433,"17782","14/02/2020","GWFG","2019",45,"Farm_ 1","105",0.526606311,428,2.377777778,2,"No_Shoot",-0.083452785,-0.235862727,-0.235862727,-0.121831161,"F","17782_2019","No_Shoot",13
"47",1.492582143,"17782","22/02/2020","GWFG","2019",53,"Farm_ 1","113",0.400507602,428,2.377777778,2,"No_Shoot",0.091736535,-0.235862727,-0.235862727,-0.121831161,"F","17782_2019","No_Shoot",13
"48",1.719782481,"17782","25/02/2020","GWFG","2019",56,"Farm_ 1","116",0.542197818,428,2.377777778,2,"No_Shoot",0.157432529,-0.235862727,-0.235862727,-0.121831161,"F","17782_2019","No_Shoot",13
"49",3.051546417,"17782","03/03/2020","GWFG","2019",63,"Farm_ 1","123",1.115648484,428,2.377777778,2,"No_Shoot",0.310723184,-0.235862727,-0.235862727,-0.121831161,"F","17782_2019","No_Shoot",13
"50",1.92748162,"17782","10/03/2020","GWFG","2019",70,"Farm_ 1","130",0.656214291,428,2.377777778,2,"No_Shoot",0.464013839,-0.235862727,-0.235862727,-0.121831161,"F","17782_2019","No_Shoot",13
"51",2.208606345,"17782","12/03/2020","GWFG","2019",72,"Farm_ 1","132",0.792361703,428,2.377777778,2,"No_Shoot",0.507811169,-0.235862727,-0.235862727,-0.121831161,"F","17782_2019","No_Shoot",13
"52",3.233004324,"17782","21/03/2020","GWFG","2019",81,"Farm_ 1","141",1.173411836,428,2.377777778,2,"No_Shoot",0.704899154,-0.235862727,-0.235862727,-0.121831161,"F","17782_2019","No_Shoot",13
"53",3.015819465,"17807","10/03/2020","GWFG","2019",70,"Farm_ 1","130",1.103871589,428,2.377777778,0,"No_Shoot",0.464013839,-0.235862727,-0.235862727,-0.612766304,"F","17807_2019","No_Shoot",30
"54",1.854091145,"17807","12/03/2020","GWFG","2019",72,"Farm_ 1","132",0.617394627,428,2.377777778,0,"No_Shoot",0.507811169,-0.235862727,-0.235862727,-0.612766304,"F","17807_2019","No_Shoot",30
"55",2.714308111,"17807","21/03/2020","GWFG","2019",81,"Farm_ 1","141",0.998537081,428,2.377777778,1,"No_Shoot",0.704899154,-0.235862727,-0.235862727,-0.367298732,"F","17807_2019","No_Shoot",30
"56",0.676530814,"17807","06/11/2020","GWFG","2020",311,"Farm_ 1","6",-0.390777283,328,1.822222222,0,"No_Shoot",-2.251420618,-0.603785284,-0.603785284,-0.612766304,"F","17807_2020","No_Shoot",31
"57",0.655796491,"17807","09/11/2020","GWFG","2020",314,"Farm_ 1","9",-0.421904765,328,1.822222222,0,"No_Shoot",-2.185724623,-0.603785284,-0.603785284,-0.612766304,"F","17807_2020","No_Shoot",31
"58",0.744237854,"17807","02/01/2021","GWFG","2020",2,"Farm_ 1","62",-0.295394599,328,1.822222222,0,"No_Shoot",-1.025095379,-0.603785284,-0.603785284,-0.612766304,"F","17807_2020","No_Shoot",31
"59",1.408002695,"17807","11/01/2021","GWFG","2020",11,"Farm_ 1","71",0.342172172,328,1.822222222,0,"No_Shoot",-0.828007395,-0.603785284,-0.603785284,-0.612766304,"F","17807_2020","No_Shoot",31
"60",1.047269994,"17807","12/01/2021","GWFG","2020",12,"Farm_ 1","72",0.046186773,328,1.822222222,0,"No_Shoot",-0.80610873,-0.603785284,-0.603785284,-0.612766304,"F","17807_2020","No_Shoot",31
"61",0.318136844,"17807","16/01/2021","GWFG","2020",16,"Farm_ 1","76",-1.145273662,328,1.822222222,0,"No_Shoot",-0.71851407,-0.603785284,-0.603785284,-0.612766304,"F","17807_2020","No_Shoot",31
"62",0.960812324,"17807","17/01/2021","GWFG","2020",17,"Farm_ 1","77",-0.039976182,328,1.822222222,0,"No_Shoot",-0.696615405,-0.603785284,-0.603785284,-0.612766304,"F","17807_2020","No_Shoot",31
"63",1.642520836,"17807","27/01/2021","GWFG","2020",27,"Farm_ 1","87",0.496232157,328,1.822222222,0,"No_Shoot",-0.477628755,-0.603785284,-0.603785284,-0.612766304,"F","17807_2020","No_Shoot",31
"64",0.986677161,"17807","02/02/2021","GWFG","2020",33,"Farm_ 1","93",-0.013412384,328,1.822222222,0,"No_Shoot",-0.346236765,-0.603785284,-0.603785284,-0.612766304,"F","17807_2020","No_Shoot",31
"65",1.162331154,"17807","03/02/2021","GWFG","2020",34,"Farm_ 1","94",0.150427604,328,1.822222222,0,"No_Shoot",-0.3243381,-0.603785284,-0.603785284,-0.612766304,"F","17807_2020","No_Shoot",31
"66",2.176416312,"17807","04/02/2021","GWFG","2020",35,"Farm_ 1","95",0.777679631,328,1.822222222,0,"No_Shoot",-0.302439435,-0.603785284,-0.603785284,-0.612766304,"F","17807_2020","No_Shoot",31
"67",0.346607062,"17807","06/02/2021","GWFG","2020",37,"Farm_ 1","97",-1.059563528,328,1.822222222,0,"No_Shoot",-0.258642105,-0.603785284,-0.603785284,-0.612766304,"F","17807_2020","No_Shoot",31
"68",2.662088569,"17807","25/02/2021","GWFG","2020",56,"Farm_ 1","116",0.979110991,328,1.822222222,0,"No_Shoot",0.157432529,-0.603785284,-0.603785284,-0.612766304,"F","17807_2020","No_Shoot",31
"69",4.282456325,"17807","05/11/2021","GWFG","2021",309,"Farm_ 1","4",1.454526753,NA,NA,0,"No_Shoot",-2.295217948,NA,NA,-0.612766304,"F","17807_2021","No_Shoot",32
"70",1.662187256,"17807","14/11/2021","GWFG","2021",318,"Farm_ 1","13",0.508134359,NA,NA,0,"No_Shoot",-2.098129963,NA,NA,-0.612766304,"F","17807_2021","No_Shoot",32
"71",1.151628091,"17807","18/11/2021","GWFG","2021",322,"Farm_ 1","17",0.141176672,NA,NA,0,"No_Shoot",-2.010535303,NA,NA,-0.612766304,"F","17807_2021","No_Shoot",32
"72",1.31110534,"17807","22/11/2021","GWFG","2021",326,"Farm_ 1","21",0.270870552,NA,NA,0,"No_Shoot",-1.922940644,NA,NA,-0.612766304,"F","17807_2021","No_Shoot",32
"73",1.016906035,"17807","23/01/2022","GWFG","2021",23,"Farm_ 1","83",0.016764718,NA,NA,0,"No_Shoot",-0.565223415,NA,NA,-0.612766304,"F","17807_2021","No_Shoot",32
"74",2.022486012,"194247","06/11/2020","GBG","2019",311,"Farm_ 2","6",0.704327454,428,2.377777778,0,"No_Shoot",-2.251420618,-0.235862727,-0.235862727,-0.612766304,"M","194247_2019","No_Shoot",72
"75",6.256125582,"194242","19/03/2021","GBG","2020",78,"Farm_ 2","138",1.833561077,328,1.822222222,2,"No_Shoot",0.639203159,-0.603785284,-0.603785284,-0.121831161,"M","194242_2020","No_Shoot",63
