"","Device_ID","Winter","PP_Shoot","Habitat","case_","ceh_broad","Case","weight","Used","weight2","gwf_dist_points"
"6174","171211",2018,"post","11",FALSE,"bog",0,1,"Avail",1,1855.06748289873
"6175","171211",2018,"post","10",FALSE,"other_grassland",0,1,"Avail",1,1431.96284153927
"6176","171211",2018,"post","4",FALSE,"improved_grassland",0,1,"Avail",1,170.969546321316
"6177","171211",2018,"post","2",FALSE,"other",0,1,"Avail",1,214.470369726271
"6178","171211",2018,"post","check",FALSE,"other",0,1,"Avail",1,3493.83665069696
"6179","171211",2018,"post","check",FALSE,"other",0,1,"Avail",1,2029.61655582234
"6180","171211",2018,"post","2",FALSE,"other",0,1,"Avail",1,595.975429781104
"6181","171211",2018,"post","4",FALSE,"improved_grassland",0,1,"Avail",1,905.836093912383
"6182","171211",2018,"post","3",FALSE,"arable_hort",0,1,"Avail",1,77.8904938617879
"6183","171211",2018,"post","check",FALSE,"other",0,1,"Avail",1,4334.06510973159
"6184","171211",2018,"post","4",FALSE,"improved_grassland",0,1,"Avail",1,277.243576493422
"6185","171211",2018,"post","10",FALSE,"other_grassland",0,1,"Avail",1,458.514722755479
"6186","171211",2018,"post","check",FALSE,"other",0,1,"Avail",1,3756.98317001518
"6187","171211",2018,"post","4",FALSE,"improved_grassland",0,1,"Avail",1,383.046523080761
"6188","171211",2018,"post","check",FALSE,"other",0,1,"Avail",1,5897.20383519923
"6189","171211",2018,"post","2",FALSE,"other",0,1,"Avail",1,2095.8763900058
"6190","171211",2018,"post","10",FALSE,"other_grassland",0,1,"Avail",1,343.354800495109
"6191","171211",2018,"post","4",FALSE,"improved_grassland",0,1,"Avail",1,65.0216073089667
"6192","171211",2018,"post","check",FALSE,"other",0,1,"Avail",1,1350.49851793589
"6193","171211",2018,"post","11",FALSE,"bog",0,1,"Avail",1,458.241814442514
"6194","171211",2018,"post","check",FALSE,"other",0,1,"Avail",1,1042.9862310077
"6195","171211",2018,"post","11",FALSE,"bog",0,1,"Avail",1,989.89968285681
"6196","171211",2018,"post","check",FALSE,"other",0,1,"Avail",1,3322.79285239248
"6197","171211",2018,"post","10",FALSE,"other_grassland",0,1,"Avail",1,1439.00179816644
"6198","171211",2018,"post","2",FALSE,"other",0,1,"Avail",1,959.82700536589
"6199","171211",2018,"post","check",FALSE,"other",0,1,"Avail",1,1679.40682657111
"6200","171211",2018,"post","check",FALSE,"other",0,1,"Avail",1,5254.53677513442
"6201","171211",2018,"post","check",FALSE,"other",0,1,"Avail",1,1409.79761309146
"6202","171211",2018,"post","4",FALSE,"improved_grassland",0,1,"Avail",1,142.15825912293
"6203","171211",2018,"post","4",FALSE,"improved_grassland",0,1,"Avail",1,1175.6563472283
"6204","171211",2018,"post","10",FALSE,"other_grassland",0,1,"Avail",1,1845.60460590848
"6205","171211",2018,"post","11",FALSE,"bog",0,1,"Avail",1,841.032024832215
"6206","171211",2018,"post","check",FALSE,"other",0,1,"Avail",1,1744.15080381597
"6207","171211",2018,"post","4",FALSE,"improved_grassland",0,1,"Avail",1,1604.57931630617
"6208","171211",2018,"post","check",FALSE,"other",0,1,"Avail",1,1558.77682067018
"6209","171211",2018,"post","11",FALSE,"bog",0,1,"Avail",1,392.709869336175
"6210","171211",2018,"post","4",FALSE,"improved_grassland",0,1,"Avail",1,548.185601492931
"6211","171211",2018,"post","10",FALSE,"other_grassland",0,1,"Avail",1,689.551865849808
"6212","171211",2018,"post","10",FALSE,"other_grassland",0,1,"Avail",1,1064.3084454538
"6213","171211",2018,"post","check",FALSE,"other",0,1,"Avail",1,2502.05163153711
"6214","171211",2018,"post","11",FALSE,"bog",0,1,"Avail",1,701.869290184612
"6215","171211",2018,"post","check",FALSE,"other",0,1,"Avail",1,1991.26167053444
"6216","171211",2018,"post","11",FALSE,"bog",0,1,"Avail",1,232.016227018187
"6217","171211",2018,"post","10",FALSE,"other_grassland",0,1,"Avail",1,568.963398521014
"6218","171211",2018,"post","check",FALSE,"other",0,1,"Avail",1,1322.89372753567
"6219","171211",2018,"post","4",FALSE,"improved_grassland",0,1,"Avail",1,961.236120562613
"6220","171211",2018,"post","18",FALSE,"saltmarsh_coastal",0,1,"Avail",1,909.783593407628
"6221","171211",2018,"post","3",FALSE,"arable_hort",0,1,"Avail",1,344.971317071428
"6222","171211",2018,"post","10",FALSE,"other_grassland",0,1,"Avail",1,473.393527635214
"6223","171211",2018,"post","18",FALSE,"saltmarsh_coastal",0,1,"Avail",1,375.614875964379
"6224","171211",2018,"post","4",FALSE,"improved_grassland",0,1,"Avail",1,18.2898335821556
"6225","171211",2018,"post","check",FALSE,"other",0,1,"Avail",1,2398.40679007844
"6226","171211",2018,"post","4",FALSE,"improved_grassland",0,1,"Avail",1,158.468965112398
"6227","171211",2018,"post","check",FALSE,"other",0,1,"Avail",1,2894.3041393213
"6228","171211",2018,"post","check",FALSE,"other",0,1,"Avail",1,1420.43095414959
"6229","171211",2018,"post","10",FALSE,"other_grassland",0,1,"Avail",1,2699.32167394984
"6230","171211",2018,"post","11",FALSE,"bog",0,1,"Avail",1,380.075465282029
"6231","171211",2018,"post","check",FALSE,"other",0,1,"Avail",1,3825.76422675735
"6232","171211",2018,"post","check",FALSE,"other",0,1,"Avail",1,2292.18445016097
"6233","171211",2018,"post","4",FALSE,"improved_grassland",0,1,"Avail",1,419.313152798839
"6234","171211",2018,"post","check",FALSE,"other",0,1,"Avail",1,563.22363016533
"6235","171211",2018,"post","18",FALSE,"saltmarsh_coastal",0,1,"Avail",1,732.665133515056
"6236","171211",2018,"post","check",FALSE,"other",0,1,"Avail",1,1174.29617046114
"6237","171211",2018,"post","10",FALSE,"other_grassland",0,1,"Avail",1,1011.34308265552
"6238","171211",2018,"post","1",FALSE,"other",0,1,"Avail",1,3222.6581439777
"6239","171211",2018,"post","16",FALSE,"saltmarsh_coastal",0,1,"Avail",1,1239.15907059469
"6240","171211",2018,"post","check",FALSE,"other",0,1,"Avail",1,2629.37016307984
"6241","171211",2018,"post","11",FALSE,"bog",0,1,"Avail",1,186.125208565756
"6242","171211",2018,"post","10",FALSE,"other_grassland",0,1,"Avail",1,1038.46446890761
