"","bird_trips","birdID","totaldist","daydist","Device_ID","UTC_Date","Species","Month","Year","Winter","Disturbance","Total_fixes","year_day","fix_gps","Raw_Farm_Name","Shoot_field","mode_hld_farm","shoot_date","totaldist_log","events_total","shoot_freq","indiv_dist","Disturbance2","shoot_date_sc","events_total_sc","shoot_freq_sc","indiv_dist_sc","Sex","Tag_Winter","Disturbance_shoot"
"15","BARN13_05/02/2020","BARN13",4.20219129269577,NA,"BARN13",2020-02-05,"GBG",2,2020,"2019",0,9,36,NA,NA,"No","CRAIGENS & CORSAPOL",96,1.43560612558837,428,2.37777777777778,0,"No_Shoot",-0.280540770129768,-0.235862727415038,-0.235862727415038,-0.657227187435467,"M","BARN13_2019","1"
"16","BARN13_06/02/2020","BARN13",1.86807396784645,NA,"BARN13",2020-02-06,"GBG",2,2020,"2019",0,9,37,NA,NA,"No","SI.AORADH",97,0.624907936370903,428,2.37777777777778,0,"No_Shoot",-0.258642105150992,-0.235862727415038,-0.235862727415038,-0.657227187435467,"M","BARN13_2019","1"
"17","BARN13_07/02/2020","BARN13",2.66808576608315,NA,"BARN13",2020-02-07,"GBG",2,2020,"2019",0,9,38,NA,NA,"No","SI.AORADH",98,0.981361273744776,428,2.37777777777778,0,"No_Shoot",-0.236743440172215,-0.235862727415038,-0.235862727415038,-0.657227187435467,"M","BARN13_2019","1"
"18","BARN13_08/02/2020","BARN13",3.5730709894962,NA,"BARN13",2020-02-08,"GBG",2,2020,"2019",0,10,39,NA,NA,"No","CRAIGENS & CORSAPOL",99,1.27342544716078,428,2.37777777777778,0,"No_Shoot",-0.214844775193439,-0.235862727415038,-0.235862727415038,-0.657227187435467,"M","BARN13_2019","1"
"19","BARN13_09/02/2020","BARN13",3.92620720302554,NA,"BARN13",2020-02-09,"GBG",2,2020,"2019",0,10,40,NA,NA,"No","CRAIGENS & CORSAPOL",100,1.36767387159496,428,2.37777777777778,0,"No_Shoot",-0.192946110214662,-0.235862727415038,-0.235862727415038,-0.657227187435467,"M","BARN13_2019","1"
"20","BARN13_10/02/2020","BARN13",6.54333689700275,NA,"BARN13",2020-02-10,"GBG",2,2020,"2019",0,10,41,NA,NA,"No","AUCHNACLACH FARM",101,1.8784472642461,428,2.37777777777778,0,"No_Shoot",-0.171047445235886,-0.235862727415038,-0.235862727415038,-0.657227187435467,"M","BARN13_2019","1"
"21","BARN13_11/02/2020","BARN13",6.66542022259488,NA,"BARN13",2020-02-11,"GBG",2,2020,"2019",0,11,42,NA,NA,"No","KEILLS / LOSSIT",102,1.89693300079468,428,2.37777777777778,0,"No_Shoot",-0.149148780257109,-0.235862727415038,-0.235862727415038,-0.657227187435467,"M","BARN13_2019","1"
"22","BARN13_12/02/2020","BARN13",5.57718437181653,NA,"BARN13",2020-02-12,"GBG",2,2020,"2019",0,11,43,NA,NA,"No","KEILLS / LOSSIT",103,1.71868405617898,428,2.37777777777778,0,"No_Shoot",-0.127250115278333,-0.235862727415038,-0.235862727415038,-0.657227187435467,"M","BARN13_2019","1"
"23","BARN13_13/02/2020","BARN13",5.96343557955139,NA,"BARN13",2020-02-13,"GBG",2,2020,"2019",0,11,44,NA,NA,"No","COULL1",104,1.78564675452186,428,2.37777777777778,0,"No_Shoot",-0.105351450299556,-0.235862727415038,-0.235862727415038,-0.657227187435467,"M","BARN13_2019","1"
"24","BARN13_14/02/2020","BARN13",1.30425575439191,NA,"BARN13",2020-02-14,"GBG",2,2020,"2019",0,11,45,NA,NA,"No","COULL1",105,0.265632574941998,428,2.37777777777778,0,"No_Shoot",-0.0834527853207796,-0.235862727415038,-0.235862727415038,-0.657227187435467,"M","BARN13_2019","1"
