"","Date_ID","spatial_overlap","Raw_Farm_Name","FIELD_ID","fix_gps","Shoot_ID1","Shoot_ID2","Shoot_ID1_time","Shoot_ID2_time","Shoot_ID1_shots","Shoot_ID2_shots","Shoot_field"
"69","40235_02/03/2020",1,"lyrabus","LY30","LY21",346,NA,2020-03-02 09:50:00,NA,4,NA,"No"
"70","194248_02/03/2020",1,"lyrabus","LY30","LY11",346,NA,2020-03-02 09:50:00,NA,4,NA,"No"
"71","40235_02/03/2020",1,"craigens","CP55","AO32",347,NA,2020-03-02 10:10:00,NA,10,NA,"No"
"72","194248_02/03/2020",1,"craigens","CP55","AO32",347,NA,2020-03-02 10:10:00,NA,10,NA,"No"
"73","BARN14_04/03/2020",1,"craigens","CP10","AO32",358,NA,2020-03-04 11:20:00,NA,3,NA,"No"
"74","BARN11_05/03/2020",1,"rockside","RK1","CO21",361,NA,2020-03-05 09:50:00,NA,3,NA,"No"
"75","BARN12_05/03/2020",1,"rockside","RK1","CO21",361,NA,2020-03-05 09:50:00,NA,3,NA,"No"
"76","BARN11_06/03/2020",1,"coull","CO11","CO15",365,NA,2020-03-06 08:55:00,NA,1,NA,"No"
"77","BARN10_06/03/2020",1,"coull","CO11","CO15",365,NA,2020-03-06 08:55:00,NA,1,NA,"No"
"78","BARN12_06/03/2020",1,"coull","CO11","CO15",365,NA,2020-03-06 08:55:00,NA,1,NA,"No"
"79","BARN09_06/03/2020",1,"ballinaby","BB7","BB3",366,NA,2020-03-06 09:10:00,NA,1,NA,"No"
"80","BARN09_07/03/2020",1,"ballinaby","BB7","BB3",369,NA,2020-03-07 08:10:00,NA,1,NA,"No"
"81","BARN09_07/03/2020",1,"ballinaby","BB7","BB5",369,NA,2020-03-07 08:10:00,NA,1,NA,"No"
"82","194241_07/03/2020",1,"kilmeny","KM9","KM10",373,NA,2020-03-07 12:10:00,NA,10,NA,"No"
"83","194241_07/03/2020",1,"kilmeny","KM9","KM9",373,NA,2020-03-07 12:10:00,NA,10,NA,"Yes"
"84","BARN09_11/03/2020",1,"ballinaby","BB7","BB13",384,NA,2020-03-11 11:25:00,NA,1,NA,"No"
"85","194239_14/03/2020",1,"rockside","RK1","RK8",395,NA,2020-03-14 10:45:00,NA,4,NA,"No"
"86","BARN13_14/03/2020",1,"rockside","RK1","RK8",395,NA,2020-03-14 10:45:00,NA,4,NA,"No"
"87","BARN10_14/03/2020",1,"rockside","RK1","CO1",395,NA,2020-03-14 10:45:00,NA,4,NA,"No"
"88","BARN13_23/03/2020",1,"rockside","RK1","RK3",418,NA,2020-03-23 16:35:00,NA,28,NA,"No"
"89","194239_23/03/2020",1,"rockside","RK1","RK3",418,NA,2020-03-23 16:35:00,NA,28,NA,"No"
"90","16195_23/03/2020",1,"starchmill","GC53",NA,419,NA,2020-03-23 17:30:00,NA,6,NA,"No"
"91","194239_23/03/2020",1,"rockside","RK1","RK2",418,NA,2020-03-23 16:35:00,NA,28,NA,"No"
"92","194244_05/11/2020",1,"craigens","CP56","AO30",424,NA,2020-11-05 15:35:00,NA,1,NA,"No"
"93","BARN11_05/11/2020",1,"craigens","CP56","AO30",424,NA,2020-11-05 15:35:00,NA,1,NA,"No"
"94","194248_05/11/2020",1,"craigens","CP56","CP56",424,NA,2020-11-05 15:35:00,NA,1,NA,"Yes"
"95","194246_05/11/2020",1,"craigens","CP56","AO30",424,NA,2020-11-05 15:35:00,NA,1,NA,"No"
"96","194244_05/11/2020",1,"craigens","CP56","AO31",424,NA,2020-11-05 15:35:00,NA,1,NA,"No"
"97","194249_06/11/2020",1,"ballimartin","EO28","EO25",427,NA,2020-11-06 12:20:00,NA,1,NA,"No"
"98","194245_07/11/2020",1,"sunderland",NA,"PC20",429,NA,2020-11-07 09:45:00,NA,1,NA,"No"
"99","194245_07/11/2020",1,"sunderland",NA,"PC19",429,NA,2020-11-07 09:45:00,NA,1,NA,"No"
"100","BARN11_07/11/2020",1,"craigens","CP56","AO31",430,NA,2020-11-07 13:00:00,NA,1,NA,"No"
"101","194246_07/11/2020",1,"craigens","CP56","CP56",430,NA,2020-11-07 13:00:00,NA,1,NA,"Yes"
"102","194248_07/11/2020",1,"craigens","CP56","CP56",430,NA,2020-11-07 13:00:00,NA,1,NA,"Yes"
"103","BARN11_07/11/2020",1,"craigens","CP56","AO32",430,NA,2020-11-07 13:00:00,NA,1,NA,"No"
"104","194246_10/11/2020",1,"craigens","CP51","CP1",432,NA,2020-11-10 10:05:00,NA,1,NA,"No"
"105","194246_10/11/2020",1,"craigens","CP51","AO31",432,NA,2020-11-10 10:05:00,NA,1,NA,"No"
"106","194246_10/11/2020",1,"craigens","CP51","AO38",432,NA,2020-11-10 10:05:00,NA,1,NA,"No"
